# $Id$
#
# List of Datums available in GMT
# The (Dx,Dy,Dz) values are in meters relative to WGS-84
# To add more datumes, add new records, and run
#
# make gmt_datums.h
#
#Datum-name	Ellipsoid	Dx	Dy	Dz	Region
North American 1927	Clarke-1866	11	114	195	Greenland (Hayes Peninsula)
North American 1927	Clarke-1866	-3	142	183	MEAN FOR Antigua; Barbados; Barbuda; Caicos Islands; Cuba; Dominican Republic; Grand Cayman; Jamaica; Turks Islands
North American 1927	Clarke-1866	0	125	194	MEAN FOR Belize; Costa Rica; El Salvador; Guatemala; Honduras; Nicaragua
North American 1927	Clarke-1866	-10	158	187	MEAN FOR Canada
North American 1927	Clarke-1866	-8	160	176	MEAN FOR CONUS
North American 1927	Clarke-1866	-9	161	179	MEAN FOR CONUS (East of Mississippi; River Including Louisiana; Missouri; Minnesota)
North American 1927	Clarke-1866	-8	159	175	MEAN FOR CONUS (West of Mississippi; River Excluding Louisiana; Minnesota; Missouri)
North American 1927	Clarke-1866	-12	130	190	Mexico
North American 1983	GRS-80	0	0	0	Alaska (Excluding Aleutian Ids)
North American 1983	GRS-80	-2	0	4	Aleutian Ids
North American 1983	GRS-80	0	0	0	Canada
North American 1983	GRS-80	0	0	0	CONUS
North American 1983	GRS-80	1	1	-1	Hawaii
North American 1983	GRS-80	0	0	0	Mexico; Central America
North Sahara 1959	Clarke-1880	-186	-93	310	Algeria
Observatorio Meteorologico 1939	International-1924	-425	-169	81	Azores (Corvo & Flores Islands)
Old Egyptian 1907	Helmert-1906	-130	110	-13	Egypt
Old Hawaiian	Clarke-1866	89	-279	-183	Hawaii
Old Hawaiian	Clarke-1866	45	-290	-172	Kauai
Old Hawaiian	Clarke-1866	65	-290	-190	Maui
Old Hawaiian	Clarke-1866	61	-285	-181	MEAN FOR Hawaii; Kauai; Maui; Oahu
Old Hawaiian	Clarke-1866	58	-283	-182	Oahu
Oman	Clarke-1880	-346	-1	224	Oman
Ordnance Survey Great Britain 1936	Airy	371	-112	434	England
Ordnance Survey Great Britain 1936	Airy	371	-111	434	England; Isle of Man; Wales
Ordnance Survey Great Britain 1936	Airy	375	-111	431	MEAN FOR England; Isle of Man; Scotland; Shetland Islands; Wales
Ordnance Survey Great Britain 1936	Airy	384	-111	425	Scotland; Shetland Islands
Ordnance Survey Great Britain 1936	Airy	370	-108	434	Wales
Pico de las Nieves	International-1924	-307	-92	127	Canary Islands
Pitcairn Astro 1967	International-1924	185	165	42	Pitcairn Island
Point 58	Clarke-1880	-106	-129	165	MEAN FOR Burkina Faso & Niger
